time;V(/Vo);
1e-08;0.00049995;
1.08402e-08;0.000541955;
1.25206e-08;0.000625966;
1.58814e-08;0.000793982;
2.2603e-08;0.00113;
3.60463e-08;0.00180196;
6.29327e-08;0.00314562;
1.16706e-07;0.00583184;
2.24251e-07;0.0111999;
4.39343e-07;0.0219182;
8.69526e-07;0.0432821;
1e-06;0.0497422;
1.08604e-06;0.0539951;
1.25811e-06;0.0624927;
1.60226e-06;0.0794382;
2.29055e-06;0.113124;
3.29055e-06;0.161557;
4.29055e-06;0.209355;
5.29055e-06;0.25648;
6.29055e-06;0.302898;
7.29055e-06;0.348577;
8.29055e-06;0.393487;
9.29055e-06;0.437599;
1.02905e-05;0.480886;
1.12905e-05;0.523325;
1.22905e-05;0.564892;
1.32905e-05;0.605568;
1.42905e-05;0.645333;
1.52905e-05;0.68417;
1.62905e-05;0.722064;
1.72905e-05;0.759002;
1.82905e-05;0.794972;
1.92905e-05;0.829963;
2.02905e-05;0.863966;
2.12905e-05;0.896975;
2.22905e-05;0.928984;
2.32905e-05;0.959988;
2.42905e-05;0.989985;
2.52905e-05;1.01897;
2.62905e-05;1.04695;
2.72905e-05;1.07392;
2.82905e-05;1.09989;
2.92905e-05;1.12485;
3.02905e-05;1.14882;
3.12905e-05;1.17179;
3.22905e-05;1.19378;
3.32905e-05;1.21479;
3.42905e-05;1.23483;
3.52905e-05;1.25391;
3.62905e-05;1.27204;
3.72905e-05;1.28924;
3.82905e-05;1.30551;
3.92905e-05;1.32086;
4.02905e-05;1.33531;
4.12905e-05;1.34888;
4.22905e-05;1.36157;
4.32905e-05;1.37341;
4.42905e-05;1.3844;
4.52905e-05;1.39458;
4.62905e-05;1.40394;
4.72905e-05;1.41251;
4.82905e-05;1.42031;
4.92905e-05;1.42735;
5.02905e-05;1.43365;
5.12905e-05;1.43923;
5.22905e-05;1.44411;
5.32905e-05;1.44831;
5.42905e-05;1.45184;
5.52905e-05;1.45473;
5.62905e-05;1.45699;
5.72905e-05;1.45865;
5.82905e-05;1.45972;
5.92905e-05;1.46022;
6.02905e-05;1.46018;
6.12905e-05;1.45961;
6.22905e-05;1.45852;
6.32905e-05;1.45695;
6.42905e-05;1.45491;
6.52905e-05;1.45241;
6.62905e-05;1.44949;
6.72905e-05;1.44615;
6.82905e-05;1.44241;
6.92905e-05;1.4383;
7.02905e-05;1.43383;
7.12905e-05;1.42903;
7.22905e-05;1.4239;
7.32905e-05;1.41846;
7.42905e-05;1.41274;
7.52905e-05;1.40675;
7.62905e-05;1.40051;
7.72905e-05;1.39404;
7.82905e-05;1.38734;
7.92905e-05;1.38044;
8.02905e-05;1.37335;
8.12905e-05;1.36609;
8.22905e-05;1.35868;
8.32905e-05;1.35112;
8.42905e-05;1.34343;
8.52905e-05;1.33563;
8.62905e-05;1.32773;
8.72905e-05;1.31974;
8.82905e-05;1.31168;
8.92905e-05;1.30356;
9.02905e-05;1.29539;
9.12905e-05;1.28718;
9.22905e-05;1.27894;
9.32905e-05;1.27069;
9.42905e-05;1.26244;
9.52905e-05;1.25419;
9.62905e-05;1.24596;
9.72905e-05;1.23775;
9.82905e-05;1.22958;
9.92905e-05;1.22146;
0.000100291;1.21338;
0.000101291;1.20537;
0.000102291;1.19742;
0.000103291;1.18956;
0.000104291;1.18177;
0.000105291;1.17407;
0.000106291;1.16647;
0.000107291;1.15898;
0.000108291;1.15159;
0.000109291;1.14431;
0.000110291;1.13715;
0.000111291;1.13011;
0.000112291;1.1232;
0.000113291;1.11642;
0.000114291;1.10978;
0.000115291;1.10327;
0.000116291;1.09691;
0.000117291;1.09069;
0.000118291;1.08462;
0.000119291;1.07869;
0.000120291;1.07292;
0.000121291;1.0673;
0.000122291;1.06184;
0.000123291;1.05653;
0.000124291;1.05138;
0.000125291;1.04639;
0.000126291;1.04155;
0.000127291;1.03687;
0.000128291;1.03236;
0.000129291;1.028;
0.000130291;1.0238;
0.000131291;1.01976;
0.000132291;1.01587;
0.000133291;1.01215;
0.000134291;1.00858;
0.000135291;1.00516;
0.000136291;1.0019;
0.000137291;0.998788;
0.000138291;0.995828;
0.000139291;0.993018;
0.000140291;0.990355;
0.000141291;0.987838;
0.000142291;0.985464;
0.000143291;0.983231;
0.000144291;0.981137;
0.000145291;0.979179;
0.000146291;0.977356;
0.000147291;0.975665;
0.000148291;0.974102;
0.000149291;0.972667;
0.000150291;0.971355;
0.000151291;0.970164;
0.000152291;0.969092;
0.000153291;0.968135;
0.000154291;0.96729;
0.000155291;0.966556;
0.000156291;0.965927;
0.000157291;0.965403;
0.000158291;0.964979;
0.000159291;0.964653;
0.000160291;0.964421;
0.000161291;0.964281;
0.000162291;0.964229;
0.000163291;0.964262;
0.000164291;0.964378;
0.000165291;0.964573;
0.000166291;0.964845;
0.000167291;0.965189;
0.000168291;0.965604;
0.000169291;0.966086;
0.000170291;0.966632;
0.000171291;0.967239;
0.000172291;0.967905;
0.000173291;0.968626;
0.000174291;0.9694;
0.000175291;0.970224;
0.000176291;0.971094;
0.000177291;0.972009;
0.000178291;0.972965;
0.000179291;0.973961;
0.000180291;0.974992;
0.000181291;0.976058;
0.000182291;0.977154;
0.000183291;0.97828;
0.000184291;0.979432;
0.000185291;0.980607;
0.000186291;0.981805;
0.000187291;0.983022;
0.000188291;0.984256;
0.000189291;0.985505;
0.000190291;0.986768;
0.000191291;0.988041;
0.000192291;0.989324;
0.000193291;0.990613;
0.000194291;0.991908;
0.000195291;0.993207;
0.000196291;0.994507;
0.000197291;0.995807;
0.000198291;0.997106;
0.000199291;0.998402;
0.000200291;0.999693;
0.000201291;1.00098;
0.000202291;1.00226;
0.000203291;1.00353;
0.000204291;1.00478;
0.000205291;1.00603;
0.000206291;1.00727;
0.000207291;1.00849;
0.000208291;1.0097;
0.000209291;1.01089;
0.000210291;1.01207;
0.000211291;1.01323;
0.000212291;1.01437;
0.000213291;1.01549;
0.000214291;1.01659;
0.000215291;1.01767;
0.000216291;1.01874;
0.000217291;1.01978;
0.000218291;1.02079;
0.000219291;1.02179;
0.000220291;1.02276;
0.000221291;1.02371;
0.000222291;1.02464;
0.000223291;1.02554;
0.000224291;1.02642;
0.000225291;1.02727;
0.000226291;1.0281;
0.000227291;1.0289;
0.000228291;1.02968;
0.000229291;1.03044;
0.000230291;1.03116;
0.000231291;1.03187;
0.000232291;1.03255;
0.000233291;1.0332;
0.000234291;1.03383;
0.000235291;1.03443;
0.000236291;1.03501;
0.000237291;1.03557;
0.000238291;1.0361;
0.000239291;1.03661;
0.000240291;1.03709;
0.000241291;1.03755;
0.000242291;1.03798;
0.000243291;1.03839;
0.000244291;1.03878;
0.000245291;1.03915;
0.000246291;1.0395;
0.000247291;1.03982;
0.000248291;1.04012;
0.000249291;1.0404;
0.000250291;1.04066;
0.000251291;1.0409;
0.000252291;1.04112;
0.000253291;1.04132;
0.000254291;1.0415;
0.000255291;1.04167;
0.000256291;1.04181;
0.000257291;1.04194;
0.000258291;1.04205;
0.000259291;1.04214;
0.000260291;1.04222;
0.000261291;1.04228;
0.000262291;1.04233;
0.000263291;1.04236;
0.000264291;1.04238;
0.000265291;1.04238;
0.000266291;1.04237;
0.000267291;1.04235;
0.000268291;1.04232;
0.000269291;1.04227;
0.000270291;1.04221;
0.000271291;1.04214;
0.000272291;1.04207;
0.000273291;1.04198;
0.000274291;1.04188;
0.000275291;1.04177;
0.000276291;1.04165;
0.000277291;1.04153;
0.000278291;1.0414;
0.000279291;1.04126;
0.000280291;1.04111;
0.000281291;1.04096;
0.000282291;1.0408;
0.000283291;1.04064;
0.000284291;1.04047;
0.000285291;1.04029;
0.000286291;1.04011;
0.000287291;1.03993;
0.000288291;1.03974;
0.000289291;1.03955;
0.000290291;1.03936;
0.000291291;1.03917;
0.000292291;1.03897;
0.000293291;1.03877;
0.000294291;1.03857;
0.000295291;1.03837;
0.000296291;1.03816;
0.000297291;1.03796;
0.000298291;1.03775;
0.000299291;1.03755;
0.000300291;1.03734;
0.000301291;1.03714;
0.000302291;1.03694;
0.000303291;1.03673;
0.000304291;1.03653;
0.000305291;1.03633;
0.000306291;1.03613;
0.000307291;1.03593;
0.000308291;1.03574;
0.000309291;1.03554;
0.000310291;1.03535;
0.000311291;1.03516;
0.000312291;1.03497;
0.000313291;1.03479;
0.000314291;1.03461;
0.000315291;1.03443;
0.000316291;1.03425;
0.000317291;1.03408;
0.000318291;1.03391;
0.000319291;1.03374;
0.000320291;1.03358;
0.000321291;1.03342;
0.000322291;1.03327;
0.000323291;1.03311;
0.000324291;1.03297;
0.000325291;1.03282;
0.000326291;1.03268;
0.000327291;1.03254;
0.000328291;1.03241;
0.000329291;1.03228;
0.000330291;1.03216;
0.000331291;1.03203;
0.000332291;1.03192;
0.000333291;1.0318;
0.000334291;1.03169;
0.000335291;1.03159;
0.000336291;1.03149;
0.000337291;1.03139;
0.000338291;1.03129;
0.000339291;1.0312;
0.000340291;1.03112;
0.000341291;1.03103;
0.000342291;1.03096;
0.000343291;1.03088;
0.000344291;1.03081;
0.000345291;1.03074;
0.000346291;1.03068;
0.000347291;1.03062;
0.000348291;1.03056;
0.000349291;1.03051;
0.000350291;1.03046;
0.000351291;1.03041;
0.000352291;1.03037;
0.000353291;1.03033;
0.000354291;1.03029;
0.000355291;1.03026;
0.000356291;1.03023;
0.000357291;1.0302;
0.000358291;1.03018;
0.000359291;1.03015;
0.000360291;1.03013;
0.000361291;1.03012;
0.000362291;1.0301;
0.000363291;1.03009;
0.000364291;1.03008;
0.000365291;1.03008;
0.000366291;1.03007;
0.000367291;1.03007;
0.000368291;1.03007;
0.000369291;1.03007;
0.000370291;1.03008;
0.000371291;1.03008;
0.000372291;1.03009;
0.000373291;1.0301;
0.000374291;1.03011;
0.000375291;1.03012;
0.000376291;1.03014;
0.000377291;1.03015;
0.000378291;1.03017;
0.000379291;1.03019;
0.000380291;1.03021;
0.000381291;1.03023;
0.000382291;1.03025;
0.000383291;1.03028;
0.000384291;1.0303;
0.000385291;1.03033;
0.000386291;1.03035;
0.000387291;1.03038;
0.000388291;1.03041;
0.000389291;1.03044;
0.000390291;1.03047;
0.000391291;1.0305;
0.000392291;1.03053;
0.000393291;1.03056;
0.000394291;1.03059;
0.000395291;1.03062;
0.000396291;1.03065;
0.000397291;1.03068;
0.000398291;1.03071;
0.000399291;1.03075;
0.000400291;1.03078;
0.000401291;1.03081;
0.000402291;1.03084;
0.000403291;1.03087;
0.000404291;1.03091;
0.000405291;1.03094;
0.000406291;1.03097;
0.000407291;1.031;
0.000408291;1.03103;
0.000409291;1.03107;
0.000410291;1.0311;
0.000411291;1.03113;
0.000412291;1.03116;
0.000413291;1.03119;
0.000414291;1.03122;
0.000415291;1.03125;
0.000416291;1.03128;
0.000417291;1.0313;
0.000418291;1.03133;
0.000419291;1.03136;
0.000420291;1.03139;
0.000421291;1.03141;
0.000422291;1.03144;
0.000423291;1.03146;
0.000424291;1.03149;
0.000425291;1.03151;
0.000426291;1.03154;
0.000427291;1.03156;
0.000428291;1.03158;
0.000429291;1.03161;
0.000430291;1.03163;
0.000431291;1.03165;
0.000432291;1.03167;
0.000433291;1.03169;
0.000434291;1.03171;
0.000435291;1.03172;
0.000436291;1.03174;
0.000437291;1.03176;
0.000438291;1.03178;
0.000439291;1.03179;
0.000440291;1.03181;
0.000441291;1.03182;
0.000442291;1.03184;
0.000443291;1.03185;
0.000444291;1.03186;
0.000445291;1.03187;
0.000446291;1.03189;
0.000447291;1.0319;
0.000448291;1.03191;
0.000449291;1.03192;
0.000450291;1.03193;
0.000451291;1.03194;
0.000452291;1.03194;
0.000453291;1.03195;
0.000454291;1.03196;
0.000455291;1.03197;
0.000456291;1.03197;
0.000457291;1.03198;
0.000458291;1.03198;
0.000459291;1.03199;
0.000460291;1.03199;
0.000461291;1.03199;
0.000462291;1.032;
0.000463291;1.032;
0.000464291;1.032;
0.000465291;1.03201;
0.000466291;1.03201;
0.000467291;1.03201;
0.000468291;1.03201;
0.000469291;1.03201;
0.000470291;1.03201;
0.000471291;1.03201;
0.000472291;1.03201;
0.000473291;1.03201;
0.000474291;1.03201;
0.000475291;1.03201;
0.000476291;1.032;
0.000477291;1.032;
0.000478291;1.032;
0.000479291;1.032;
0.000480291;1.032;
0.000481291;1.03199;
0.000482291;1.03199;
0.000483291;1.03199;
0.000484291;1.03198;
0.000485291;1.03198;
0.000486291;1.03198;
0.000487291;1.03197;
0.000488291;1.03197;
0.000489291;1.03196;
0.000490291;1.03196;
0.000491291;1.03196;
0.000492291;1.03195;
0.000493291;1.03195;
0.000494291;1.03194;
0.000495291;1.03194;
0.000496291;1.03193;
0.000497291;1.03193;
0.000498291;1.03192;
0.000499291;1.03192;
0.000500291;1.03191;
0.000501291;1.03191;
0.000502291;1.0319;
0.000503291;1.0319;
0.000504291;1.03189;
0.000505291;1.03189;
0.000506291;1.03188;
0.000507291;1.03188;
0.000508291;1.03187;
0.000509291;1.03187;
0.000510291;1.03186;
0.000511291;1.03186;
0.000512291;1.03185;
0.000513291;1.03185;
0.000514291;1.03184;
0.000515291;1.03184;
0.000516291;1.03183;
0.000517291;1.03183;
0.000518291;1.03182;
0.000519291;1.03182;
0.000520291;1.03181;
0.000521291;1.03181;
0.000522291;1.03181;
0.000523291;1.0318;
0.000524291;1.0318;
0.000525291;1.03179;
0.000526291;1.03179;
0.000527291;1.03179;
0.000528291;1.03178;
0.000529291;1.03178;
0.000530291;1.03177;
0.000531291;1.03177;
0.000532291;1.03177;
0.000533291;1.03176;
0.000534291;1.03176;
0.000535291;1.03176;
0.000536291;1.03175;
0.000537291;1.03175;
0.000538291;1.03175;
0.000539291;1.03175;
0.000540291;1.03174;
0.000541291;1.03174;
0.000542291;1.03174;
0.000543291;1.03174;
0.000544291;1.03173;
0.000545291;1.03173;
0.000546291;1.03173;
0.000547291;1.03173;
0.000548291;1.03173;
0.000549291;1.03172;
0.000550291;1.03172;
0.000551291;1.03172;
0.000552291;1.03172;
0.000553291;1.03172;
0.000554291;1.03172;
0.000555291;1.03171;
0.000556291;1.03171;
0.000557291;1.03171;
0.000558291;1.03171;
0.000559291;1.03171;
0.000560291;1.03171;
0.000561291;1.03171;
0.000562291;1.03171;
0.000563291;1.03171;
0.000564291;1.03171;
0.000565291;1.03171;
0.000566291;1.03171;
0.000567291;1.03171;
0.000568291;1.03171;
0.000569291;1.0317;
0.000570291;1.0317;
0.000571291;1.0317;
0.000572291;1.0317;
0.000573291;1.0317;
0.000574291;1.0317;
0.000575291;1.0317;
0.000576291;1.0317;
0.000577291;1.0317;
0.000578291;1.03171;
0.000579291;1.03171;
0.000580291;1.03171;
0.000581291;1.03171;
0.000582291;1.03171;
0.000583291;1.03171;
0.000584291;1.03171;
0.000585291;1.03171;
0.000586291;1.03171;
0.000587291;1.03171;
0.000588291;1.03171;
0.000589291;1.03171;
0.000590291;1.03171;
0.000591291;1.03171;
0.000592291;1.03171;
0.000593291;1.03171;
0.000594291;1.03171;
0.000595291;1.03171;
0.000596291;1.03171;
0.000597291;1.03172;
0.000598291;1.03172;
0.000599291;1.03172;
0.000600291;1.03172;
0.000601291;1.03172;
0.000602291;1.03172;
0.000603291;1.03172;
0.000604291;1.03172;
0.000605291;1.03172;
0.000606291;1.03172;
0.000607291;1.03172;
0.000608291;1.03172;
0.000609291;1.03172;
0.000610291;1.03173;
0.000611291;1.03173;
0.000612291;1.03173;
0.000613291;1.03173;
0.000614291;1.03173;
0.000615291;1.03173;
0.000616291;1.03173;
0.000617291;1.03173;
0.000618291;1.03173;
0.000619291;1.03173;
0.000620291;1.03173;
0.000621291;1.03173;
0.000622291;1.03173;
0.000623291;1.03174;
0.000624291;1.03174;
0.000625291;1.03174;
0.000626291;1.03174;
0.000627291;1.03174;
0.000628291;1.03174;
0.000629291;1.03174;
0.000630291;1.03174;
0.000631291;1.03174;
0.000632291;1.03174;
0.000633291;1.03174;
0.000634291;1.03174;
0.000635291;1.03174;
0.000636291;1.03174;
0.000637291;1.03174;
0.000638291;1.03174;
0.000639291;1.03174;
0.000640291;1.03175;
0.000641291;1.03175;
0.000642291;1.03175;
0.000643291;1.03175;
0.000644291;1.03175;
0.000645291;1.03175;
0.000646291;1.03175;
0.000647291;1.03175;
0.000648291;1.03175;
0.000649291;1.03175;
0.000650291;1.03175;
0.000651291;1.03175;
0.000652291;1.03175;
0.000653291;1.03175;
0.000654291;1.03175;
0.000655291;1.03175;
0.000656291;1.03175;
0.000657291;1.03175;
0.000658291;1.03175;
0.000659291;1.03175;
0.000660291;1.03175;
0.000661291;1.03175;
0.000662291;1.03175;
0.000663291;1.03175;
0.000664291;1.03175;
0.000665291;1.03175;
0.000666291;1.03175;
0.000667291;1.03175;
0.000668291;1.03175;
0.000669291;1.03175;
0.000670291;1.03175;
0.000671291;1.03175;
0.000672291;1.03175;
0.000673291;1.03175;
0.000674291;1.03175;
0.000675291;1.03175;
0.000676291;1.03175;
0.000677291;1.03175;
0.000678291;1.03175;
0.000679291;1.03175;
0.000680291;1.03175;
0.000681291;1.03175;
0.000682291;1.03175;
0.000683291;1.03175;
0.000684291;1.03175;
0.000685291;1.03175;
0.000686291;1.03175;
0.000687291;1.03175;
0.000688291;1.03175;
0.000689291;1.03175;
0.000690291;1.03175;
0.000691291;1.03175;
0.000692291;1.03175;
0.000693291;1.03175;
0.000694291;1.03175;
0.000695291;1.03175;
0.000696291;1.03175;
0.000697291;1.03175;
0.000698291;1.03175;
0.000699291;1.03175;
0.000700291;1.03175;
0.000701291;1.03175;
0.000702291;1.03175;
0.000703291;1.03175;
0.000704291;1.03175;
0.000705291;1.03175;
0.000706291;1.03175;
0.000707291;1.03175;
0.000708291;1.03175;
0.000709291;1.03175;
0.000710291;1.03175;
0.000711291;1.03175;
0.000712291;1.03175;
0.000713291;1.03175;
0.000714291;1.03175;
0.000715291;1.03175;
0.000716291;1.03175;
0.000717291;1.03175;
0.000718291;1.03175;
0.000719291;1.03175;
0.000720291;1.03175;
0.000721291;1.03175;
0.000722291;1.03175;
0.000723291;1.03175;
0.000724291;1.03175;
0.000725291;1.03175;
0.000726291;1.03175;
0.000727291;1.03175;
0.000728291;1.03175;
0.000729291;1.03175;
0.000730291;1.03175;
